timestamp_utc,market_area,electricity_price_eur_mwh
2025-01-01T02:00:00Z,DE-LU,75.00
2025-01-01T03:00:00Z,DE-LU,77.00
2025-01-01T04:00:00Z,DE-LU,70.00
2025-01-01T05:00:00Z,DE-LU,68.50
2025-01-01T06:00:00Z,DE-LU,66.00
2025-01-01T07:00:00Z,DE-LU,69.75
2025-01-01T08:00:00Z,DE-LU,74.25
2025-01-01T09:00:00Z,DE-LU,78.00
2025-01-01T10:00:00Z,DE-LU,81.50
2025-01-01T11:00:00Z,DE-LU,79.25
2025-01-01T12:00:00Z,DE-LU,76.50
2025-01-01T13:00:00Z,DE-LU,73.00
2025-01-01T14:00:00Z,DE-LU,71.25
2025-01-01T15:00:00Z,DE-LU,72.50
2025-01-01T16:00:00Z,DE-LU,77.25
2025-01-01T17:00:00Z,DE-LU,84.00
2025-01-01T18:00:00Z,DE-LU,89.50
2025-01-01T19:00:00Z,DE-LU,94.25
2025-01-01T20:00:00Z,DE-LU,91.00
2025-01-01T21:00:00Z,DE-LU,86.75
2025-01-01T22:00:00Z,DE-LU,83.25
2025-01-01T23:00:00Z,DE-LU,79.50
2025-01-02T00:00:00Z,DE-LU,82.50
2025-01-02T01:00:00Z,DE-LU,80.50
